accession,virus_name,virus_tax_id,host_name,host_tax_id,completeness,length,gene_count,protein_count,is_annotated,is_lab_host,release_date,update_date,source_database
U18319.1,Escherichia phage HK97,2681617,Escherichia coli,562,PARTIAL,3600,3,3,True,True,1995-01-02T00:00:00Z,1995-10-31T00:00:00Z,GenBank
U02466.1,Escherichia phage HK022,2681618,Escherichia coli,562,PARTIAL,2963,5,5,True,True,1993-10-12T00:00:00Z,1994-04-30T00:00:00Z,GenBank
S81763.1,Enterobacteria phage KU1,12021,Escherichia coli,562,PARTIAL,120,3,3,True,True,1996-07-21T00:00:00Z,2016-07-22T00:00:00Z,GenBank
S81553.1,Qubevirus durum,39803,Escherichia coli,562,PARTIAL,912,1,,True,True,1996-08-02T00:00:00Z,2018-07-27T00:00:00Z,GenBank
S81550.1,Qubevirus durum,39803,Escherichia coli,562,PARTIAL,860,1,,True,True,1996-08-02T00:00:00Z,2018-07-27T00:00:00Z,GenBank
S81548.1,Qubevirus durum,39803,Escherichia coli,562,PARTIAL,860,1,,True,True,1996-08-02T00:00:00Z,2018-07-27T00:00:00Z,GenBank
S69320.2,Escherichia phage M13,2785248,Escherichia coli,562,PARTIAL,347,1,,True,True,1994-09-23T00:00:00Z,2016-12-08T00:00:00Z,GenBank
S54962.1,Escherichia phage T4,2681598,Escherichia coli,562,PARTIAL,258,2,1,True,,1993-04-01T00:00:00Z,2018-07-27T00:00:00Z,GenBank
PZ878405.1,Escherichia phage BBd,3850206,Escherichia coli,562,COMPLETE,44927,73,73,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ871100.1,Escherichia phage bloody2,3844333,Escherichia coli,562,COMPLETE,50975,98,98,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ871099.1,Escherichia phage bloody1,3844332,Escherichia coli,562,COMPLETE,51075,97,97,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ871098.1,Escherichia phage Ya2,3844329,Escherichia coli,562,COMPLETE,50904,98,98,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ871097.1,Escherichia phage Ya3.1,3844330,Escherichia coli,562,COMPLETE,49432,92,92,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ871096.1,Escherichia phage Ya1,3844328,Escherichia coli,562,COMPLETE,50355,99,99,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ871095.1,Escherichia phage Ya3.2,3844331,Escherichia coli,562,COMPLETE,44927,73,73,True,True,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ869731.1,Escherichia phage D108_cts10,3844528,Escherichia coli,562,COMPLETE,167357,287,287,True,,2026-09-01T00:00:00Z,2026-09-01T00:00:00Z,GenBank
PZ862964.1,Escherichia phage ECBR1,3839902,Escherichia coli,562,PARTIAL,159178,271,271,True,True,2026-09-05T00:00:00Z,2026-09-05T00:00:00Z,GenBank
PZ809289.1,Escherichia phage 12-ed,3810609,Escherichia coli,562,COMPLETE,171455,291,289,True,True,2026-08-16T00:00:00Z,2026-08-16T00:00:00Z,GenBank
PZ793367.1,Escherichia phage EcEW12,3806159,Escherichia coli,562,COMPLETE,62283,98,98,True,True,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z,GenBank
PZ789432.1,Escherichia phage BMBo_EcP_012-45,3800065,Escherichia coli,562,COMPLETE,44996,73,73,True,True,2026-08-15T00:00:00Z,2026-08-15T00:00:00Z,GenBank
PZ787841.1,Escherichia phage EcEW5,3800064,Escherichia coli,562,COMPLETE,47035,144,144,True,True,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z,GenBank
PZ787336.1,Escherichia phage vB_Eco10_Ziv,3800061,Escherichia coli,562,COMPLETE,47147,101,101,True,True,2026-08-15T00:00:00Z,2026-08-15T00:00:00Z,GenBank
PZ754632.1,Escherichia phage LQZ,3844299,Escherichia coli,562,COMPLETE,86973,167,145,True,True,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ754631.1,Escherichia phage LXL2,3844298,Escherichia coli,562,COMPLETE,51438,99,99,True,True,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ739820.1,Escherichia phage TaoLab_32,3569567,Escherichia coli,562,PARTIAL,1114,,,,True,2026-07-29T00:00:00Z,2026-07-29T00:00:00Z,GenBank
PZ739819.1,Escherichia phage TaoLab_7,3569586,Escherichia coli,562,PARTIAL,1114,,,,True,2026-07-29T00:00:00Z,2026-07-29T00:00:00Z,GenBank
PZ738962.1,Escherichia phage ECBR4,3844473,Escherichia coli,562,COMPLETE,164053,282,282,True,True,2026-08-30T00:00:00Z,2026-08-30T00:00:00Z,GenBank
PZ721903.1,Escherichia phage Lab05,3776044,Escherichia coli,562,COMPLETE,49628,94,94,True,True,2026-08-15T00:00:00Z,2026-08-15T00:00:00Z,GenBank
PZ721902.1,Escherichia phage Lab02,3776043,Escherichia coli,562,COMPLETE,44624,80,79,True,True,2026-08-15T00:00:00Z,2026-08-15T00:00:00Z,GenBank
PZ715804.1,Escherichia phage Stream,3753520,Escherichia coli,562,COMPLETE,49773,90,90,True,True,2026-08-12T00:00:00Z,2026-08-12T00:00:00Z,GenBank
PZ715803.1,Escherichia phage Stuf3,3753522,Escherichia coli,562,COMPLETE,51987,95,95,True,True,2026-08-12T00:00:00Z,2026-08-12T00:00:00Z,GenBank
PZ715802.1,Escherichia phage Stuf1,3753521,Escherichia coli,562,COMPLETE,49124,94,94,True,True,2026-08-12T00:00:00Z,2026-08-12T00:00:00Z,GenBank
PZ688780.1,Escherichia phage vB_EcNRGM_KP2,3844218,Escherichia coli,562,PARTIAL,40923,16,16,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ683264.1,Escherichia phage ST744,3799370,Escherichia coli,562,COMPLETE,40794,48,48,True,,2026-08-08T00:00:00Z,2026-08-08T00:00:00Z,GenBank
PZ674596.1,Escherichia phage vB_Eco_MG57,3799368,Escherichia coli,562,COMPLETE,113258,182,182,True,,2026-08-08T00:00:00Z,2026-08-08T00:00:00Z,GenBank
PZ674595.1,Escherichia phage vB_Eco_HM52,3799367,Escherichia coli,562,COMPLETE,110879,180,180,True,,2026-08-08T00:00:00Z,2026-08-08T00:00:00Z,GenBank
PZ671982.1,Escherichia phage LXL1,3798119,Escherichia coli,562,COMPLETE,43947,65,65,True,True,2026-08-05T00:00:00Z,2026-08-05T00:00:00Z,GenBank
PZ662386.1,Escherichia phage SEV,3743342,Escherichia coli,562,COMPLETE,52735,98,97,True,True,2026-08-17T00:00:00Z,2026-08-17T00:00:00Z,GenBank
PZ618370.1,Escherichia phage vB_Eco_P_2642_NM2601,3798121,Escherichia coli,562,COMPLETE,39720,51,51,True,True,2026-08-05T00:00:00Z,2026-08-05T00:00:00Z,GenBank
PZ618369.1,Escherichia phage vB_Eco_P_2641_NM2512,3798120,Escherichia coli,562,COMPLETE,39474,50,50,True,True,2026-08-05T00:00:00Z,2026-08-05T00:00:00Z,GenBank
PZ583743.1,Escherichia phage P21,3734612,Escherichia coli,562,COMPLETE,167381,,,,,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,GenBank
PZ583742.1,Escherichia phage P70,3734615,Escherichia coli,562,COMPLETE,171456,,,,,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,GenBank
PZ583741.1,Escherichia phage P62,3734614,Escherichia coli,562,COMPLETE,93752,,,,,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,GenBank
PZ583740.1,Escherichia phage P119,3734611,Escherichia coli,562,COMPLETE,27851,,,,,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,GenBank
PZ583739.1,Escherichia phage P49,3734613,Escherichia coli,562,COMPLETE,171839,,,,,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,GenBank
PZ583738.1,Escherichia phage PE17,3734616,Escherichia coli,562,COMPLETE,114216,,,,,2026-08-01T00:00:00Z,2026-08-01T00:00:00Z,GenBank
PZ564402.1,Escherichia phage Diaboro,3733630,Escherichia coli,562,COMPLETE,59352,,,,True,2026-06-29T00:00:00Z,2026-06-29T00:00:00Z,GenBank
PZ564401.1,Escherichia phage Mendel,3733631,Escherichia coli,562,COMPLETE,148468,,,,True,2026-06-29T00:00:00Z,2026-06-29T00:00:00Z,GenBank
PZ554334.1,Escherichia phage 68F,3735713,Escherichia coli,562,COMPLETE,87815,165,143,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ544694.1,Escherichia phage AKO13_E,3743354,Escherichia coli,562,COMPLETE,56700,85,85,True,True,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,GenBank
PZ544513.1,Escherichia phage Yodit,3730613,Escherichia coli,562,COMPLETE,39595,60,60,True,,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,GenBank
PZ543597.1,Escherichia phage CREC-P20,3730610,Escherichia coli,562,COMPLETE,166743,285,285,True,True,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,GenBank
PZ540767.1,Escherichia phage OUDA_02,3724934,Escherichia coli,562,COMPLETE,76148,95,95,True,True,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,GenBank
PZ534534.1,Escherichia phage 519V,3735780,Escherichia coli,562,COMPLETE,139772,267,262,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ534533.1,Escherichia phage R519MH2,3735779,Escherichia coli,562,COMPLETE,51676,97,97,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ534532.1,Escherichia phage 66V,3735778,Escherichia coli,562,COMPLETE,139949,268,263,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ534515.1,Escherichia phage 522F,3735676,Escherichia coli,562,COMPLETE,87825,167,146,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ534514.1,Escherichia phage 519H,3735675,Escherichia coli,562,COMPLETE,51676,97,97,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ534512.1,Escherichia phage 64T,3735673,Escherichia coli,562,COMPLETE,167077,288,280,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ534511.1,Escherichia phage 521V,3735672,Escherichia coli,562,COMPLETE,139974,268,263,True,True,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,GenBank
PZ527900.1,Escherichia phage vB_Eco_SSK7,3739440,Escherichia coli,562,COMPLETE,44330,51,51,True,,2026-07-19T00:00:00Z,2026-07-19T00:00:00Z,GenBank
PZ513998.1,Escherichia phage AKO10_E,3743634,Escherichia coli,562,COMPLETE,56697,85,85,True,True,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,GenBank
PZ513997.1,Escherichia phage AKO6_E,3743635,Escherichia coli,562,COMPLETE,40530,64,64,True,True,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,GenBank
PZ513996.1,Escherichia phage AKO7_E,3743636,Escherichia coli,562,COMPLETE,40893,59,59,True,True,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,GenBank
PZ509022.1,Escherichia phage Push_58,3720745,Escherichia coli,562,COMPLETE,165370,285,285,True,,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,GenBank
PZ509021.1,Escherichia phage Push_43,3720744,Escherichia coli,562,COMPLETE,165700,280,280,True,,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,GenBank
PZ502562.1,Escherichia phage vB_EcoP_S37A,3719986,Escherichia coli,562,COMPLETE,38873,41,41,True,True,2026-06-29T00:00:00Z,2026-06-29T00:00:00Z,GenBank
PZ502447.1,Escherichia phage Ecol_131,3719987,Escherichia coli,562,COMPLETE,46837,76,75,True,True,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,GenBank
PZ496581.1,Escherichia phage Push_27,3715790,Escherichia coli,562,COMPLETE,165678,280,280,True,,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,GenBank
PZ496580.1,Escherichia phage Push_16A,3715789,Escherichia coli,562,COMPLETE,168831,288,288,True,,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,GenBank
PZ495249.1,Escherichia phage HHU-E16,3715787,Escherichia coli,562,COMPLETE,154032,287,287,True,,2026-06-21T00:00:00Z,2026-06-21T00:00:00Z,GenBank
PZ490076.1,Escherichia phage BUCT788EP1.2,3715544,Escherichia coli,562,COMPLETE,40032,46,46,True,,2026-06-09T00:00:00Z,2026-06-09T00:00:00Z,GenBank
PZ490075.1,Escherichia phage BUCT788EP1.1,3715543,Escherichia coli,562,PARTIAL,22500,33,33,True,,2026-06-09T00:00:00Z,2026-06-09T00:00:00Z,GenBank
PZ476263.1,Escherichia phage Jab,3715786,Escherichia coli,562,COMPLETE,142100,264,264,True,,2026-06-09T00:00:00Z,2026-06-09T00:00:00Z,GenBank
PZ465525.1,Escherichia phage Gravis,3715279,Escherichia coli,562,COMPLETE,38751,51,51,True,,2026-06-13T00:00:00Z,2026-06-13T00:00:00Z,GenBank
PZ465523.1,Escherichia phage Eve,3715278,Escherichia coli,562,COMPLETE,49119,85,85,True,,2026-06-13T00:00:00Z,2026-06-13T00:00:00Z,GenBank
PZ445134.1,Escherichia phage ecopha55,3741204,Escherichia coli,562,COMPLETE,169719,282,280,True,,2026-07-21T00:00:00Z,2026-07-21T00:00:00Z,GenBank
PZ402305.1,Escherichia phage ecopha76,3711536,Escherichia coli,562,COMPLETE,150452,317,306,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ402304.1,Escherichia phage ecopha54,3711535,Escherichia coli,562,COMPLETE,169721,282,280,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ402303.1,Escherichia phage ecopha46,3711534,Escherichia coli,562,COMPLETE,39329,56,56,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ402302.1,Escherichia phage ecopha45,3711533,Escherichia coli,562,COMPLETE,39751,56,56,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ402301.1,Escherichia phage ecopha36,3711537,Escherichia coli,562,COMPLETE,167682,292,284,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ402300.1,Escherichia phage ecopha24,3711532,Escherichia coli,562,COMPLETE,72378,105,104,True,,2026-08-29T00:00:00Z,2026-08-29T00:00:00Z,GenBank
PZ381574.1,Escherichia phage,3102713,Escherichia coli,562,PARTIAL,575,2,2,True,True,2026-08-04T00:00:00Z,2026-08-04T00:00:00Z,GenBank
